"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|"Volts"|0.0|5.0|100,"Analog2"|"Volts"|0.0|5.0|100,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|200,"AccelY"|"G"|-3.0|3.0|200,"AccelZ"|"G"|-3.0|3.0|200,"Yaw"|"Deg/Sec"|-120|120|200,"Pitch"|"Deg/Sec"|-120|120|200,"Roll"|"Deg/Sec"|-120|120|200,"Gsum"|"G"|0.0|3.0|200,"RPM"|"rpm"|0|8000|25,"RPM2"|"rpm"|0|8000|25,"GPIO1"|""|0.0|1.0|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10
,,,,,,,,,,,,,,,,,,,,,
68,0,,,,-0.08,0.14,0.98,0,-1,0,0.16,,,,,,,,,,
73,0,2.53,2.59,,-0.08,0.14,0.98,0,-1,0,0.16,,,,,,,,,,
78,0,,,,-0.08,0.14,0.99,0,-1,0,0.16,,,,,,,,,,
83,0,2.47,2.55,,-0.08,0.14,0.99,0,-1,0,0.16,0,0,0,,,,,,,
88,0,,,,-0.08,0.14,0.99,0,-1,0,0.16,,,,,,,,,,
93,0,2.53,2.58,,-0.08,0.14,0.99,0,-1,0,0.16,,,,,,,,,,
98,0,,,,-0.08,0.14,0.99,0,-1,0,0.16,,,,,,,,,,
103,0,2.52,2.58,,-0.08,0.14,1.0,0,-1,1,0.16,,,0,,,,,,,
108,0,,,,-0.07,0.14,0.99,0,-0,1,0.16,,,,,,,,,,
113,0,2.5,2.58,,-0.08,0.14,0.98,0,-0,1,0.16,,,,,,,,,,
118,0,,,,-0.07,0.14,0.99,0,-0,1,0.16,,,,,,,,,,
123,0,2.51,2.57,,-0.07,0.15,0.97,0,-1,1,0.16,0,0,0,,,,,,,
128,0,,,,-0.07,0.14,0.98,0,-0,1,0.16,,,,,,,,,,
133,0,2.51,2.58,,-0.07,0.14,0.99,0,-0,1,0.16,,,,,,,,,,
138,0,,,,-0.07,0.15,0.98,0,-0,1,0.16,,,,,,,,,,
143,0,2.54,2.56,,-0.07,0.14,0.98,0,-1,1,0.16,,,0,0.0,0.0,0.0,0.0,0,0,0.0
148,0,,,,-0.07,0.14,0.98,0,-0,1,0.16,,,,,,,,,,
153,0,2.53,2.58,,-0.07,0.14,0.98,0,-0,1,0.16,,,,,,,,,,
158,0,,,,-0.07,0.14,0.98,0,-0,1,0.16,,,,,,,,,,
163,0,2.52,2.57,,-0.07,0.14,0.98,0,-0,1,0.16,0,0,0,,,,,,,
168,0,,,,-0.07,0.14,0.98,0,-0,0,0.16,,,,,,,,,,
173,0,2.52,2.57,,-0.07,0.14,0.98,0,-0,0,0.16,,,,,,,,,,
178,0,,,,-0.07,0.14,0.98,0,-0,0,0.16,,,,,,,,,,
183,0,2.52,2.58,,-0.08,0.14,0.98,0,-0,0,0.16,,,0,,,,,,,
188,0,,,,-0.08,0.14,0.99,0,-0,0,0.16,,,,,,,,,,
193,0,2.52,2.57,,-0.08,0.14,0.99,0,-0,0,0.16,,,,,,,,,,
198,0,,,,-0.08,0.14,0.99,0,-0,0,0.16,,,,,,,,,,
203,0,2.52,2.57,,-0.08,0.14,0.99,0,-0,0,0.16,0,0,0,,,,,,,
